POSTED DATE,DESCRIPTION,AMOUNT,CURRENCY,TRANSACTION REFERENCE NUMBER,FI TRANSACTION REFERENCE,TYPE,CREDIT/DEBIT,ORIGINAL AMOUNT
08/29/2025,PPD  COMCAST-XFINITY  CABLE SVCS,-10.00,USD,,2025082900007,DDA Debit,Debit,
08/29/2025,KING SOOP 5546 PROMENA     CASTLE ROCK    CO,-54.77,USD,,2025082900006,DDA Debit,Debit,
08/29/2025,WALGREENS 9141 S BROAD     HIGHLANDS RAN  CO,-3.98,USD,,2025082900005,DDA Debit,Debit,
08/29/2025,WALGREENS 9141 S BROAD     HIGHLANDS RAN  CO,-10.00,USD,,2025082900004,DDA Debit,Debit,
08/29/2025,TST LITTLE INDIA RESTA     DENVER         CO,-70.15,USD,,2025082900003,DDA Debit,Debit,
08/29/2025,CHICK FIL A  03336         ENGLEWOOD      CO,-9.82,USD,,2025082900002,DDA Debit,Debit,
08/29/2025,PPD  MONEYGRAM        REMITTANCE,500.00,USD,,2025082900001,DDA Deposit,Credit,
08/28/2025,TARGET T  1950 E COUNT     HIGHLANDS RAN  CO,-22.58,USD,,2025082800004,DDA Debit,Debit,
08/28/2025,TARGET T  1265 SGT JON     HIGHLANDS RAN  CO,-37.99,USD,,2025082800003,DDA Debit,Debit,
08/28/2025,CHIPOTLE 0067              COLORADO SPR   CO,-15.36,USD,,2025082800002,DDA Debit,Debit,
08/28/2025,TACO BELL 033857           ENGLEWOOD      CO,-13.70,USD,,2025082800001,DDA Debit,Debit,
08/27/2025,SAMS CLUB  6634            LONE TREE      CO,-52.60,USD,,2025082700004,DDA Debit,Debit,
08/27/2025,SAMS CLUB  6634            LONE TREE      CO,-186.87,USD,,2025082700003,DDA Debit,Debit,
08/27/2025,WAL SAMSCLUB  6634 010     LONE TREE      CO,-5.38,USD,,2025082700002,DDA Debit,Debit,
08/27/2025,ALVARADO S MEXICAN FAS     ENGLEWOOD      CO,-21.07,USD,,2025082700001,DDA Debit,Debit,
08/26/2025,BELLA NATURAL WOMENS C     ENGLEWOOD      CO,-194.79,USD,,2025082600003,DDA Debit,Debit,
08/26/2025,PY  BLACK ROCK COFFEE      LITTLETON      CO,-16.62,USD,,2025082600002,DDA Debit,Debit,
08/26/2025,CAR WASH EXPRESS  211      HIGHLANDS RA   CO,-27.00,USD,,2025082600001,DDA Debit,Debit,
